SN,PROD,,,
1477,TC400,,,
1477,DW400,,,
1478,RFTC400,,,
1478,MPC400,,,
1479,DW400,,,
1479,TC400,,,
1479,FC400,,,
1479,HW400,,,
1480,MPC5L,,,
1481,TC400,,,
1481,RF400,,,
1482,FC400,,,
1483,HomeK8,,,
1484,DW400,,,
1484,TC400,,,
1484,HW400,,,
1484,FC400,,,
1485,HomeK8,,,
1486,FC5L,,,
1487,AppK6,,,
1488,AppK6,,,
1489,HomeK8,,,
1490,MPC5L,,,
1490,FC5L,,,
1491,HomeK8,,,
1492,HomeK8,,,
1493,HomeK8,,,
1494,HomeK8,,,
1495,TC400,,,
1495,FC400,,,
1496,AppK6,,,
1497,FC5L,,,
1498,HomeK8,,,
1498,TC400,,,
1499,RFTC400,,,
1499,HW400,,,
1499,FC400,,,
1500,TC5L,,,
1500,FC5L,,,
1501,HomeK8,,,
1502,DW400,,,
1502,FC400,,,
1502,TC400,,,
1503,HomeK8,,,
1504,HomeK8,,,
1505,HomeK8,,,
1506,MPC5L,,,
1507,HomeK8,,,
1508,HW400,,,
1508,DW400,,,
1509,HomeK8,,,
1510,HomeK8,,,
1511,RFTC400,,,
1512,HomeK8,,,
1513,HomeK8,,,
1514,RF5L,,,
1515,FC5L,,,
1516,HomeK8,,,
1517,FC5L,,,
1518,MPC400,,,
1519,HomeK8,,,
1520,TC5L,,,
1520,FC400,,,
1520,HW400,,,
1521,HomeK8,,,
1522,FC400,,,
1522,TC400,,,
1523,HomeK8,,,
1524,HW5L,,,
1524,FC5L,,,
1525,TC400,,,
1525,RF400,,,
1525,MPC400,,,
1526,DW400,,,
1526,FC400,,,
1527,HW400,,,
1527,RFTC400,,,
1528,FC5L,,,
1528,RF400,,,
1529,MPC400,,,
1530,HomeK8,,,
1531,HomeK8,,,
1532,FC5L,,,
1532,DW400,,,
1532,HW400,,,
1533,DW400,,,
1533,TC400,,,
1533,FC400,,,
1534,HW400,,,
1534,TC400,,,
1534,DCK400,,,
1534,TC400,,,
1534,FC400,,,
1534,DW400,,,
1534,MPC400,,,
1535,FC400,,,
1535,DW400,,,
1536,FC5L,,,
1536,DW400,,,
1536,HW400,,,
1537,TC400,,,
1537,DW400,,,
1537,MPC400,,,
1537,FC400,,,
1537,HW400,,,
1538,HomeK8,,,
1539,HW400,,,
1539,RFTC400,,,
1539,FC400,,,
1540,HomeK8,,,
1541,FC5L,,,
1541,DW5L,,,
1541,TC5L,,,
1542,AppK6,,,
1542,MPC400,,,
1543,DW400,,,
1543,HW400,,,
1543,DCK400,,,
1543,TC400,,,
1544,HomeK8,,,
1545,TC400,,,
1545,MPC400,,,
1545,FC400,,,
1545,HW400,,,
1545,DW400,,,
1546,HW5L,,,
1546,TC5L,,,
1546,DW5L,,,
1546,FC5L,,,
1547,RFTC400,,,
1548,FC5L,,,
1548,RFTC400,,,
1549,TC400,,,
1550,TC5L,,,
1550,MPC5L,,,
1551,HomeK8,,,
1552,KitK4,,,
1553,MPC400,,,
1553,FC400,,,
1553,RF400,,,
1554,HomeK8,,,
1555,HomeK8,,,
1556,HomeK8,,,
1557,HomeK8,,,
1558,FC5L,,,
1558,HW400,,,
1558,TC400,,,
1559,FC5L,,,
1560,HomeK8,,,
1561,FC5L,,,
1561,TC5L,,,
1562,HomeK8,,,
1563,AppK6,,,
1564,HomeK8,,,
1565,TC400,,,
1565,FC400,,,
1566,HomeK8,,,
1567,TC400,,,
1568,HomeK8,,,
1569,HomeK8,,,
1570,RF400,,,
1571,HomeK8,,,
1572,HomeK8,,,
1573,HomeK8,,,
1574,DW400,,,
1575,HW5L,,,
1575,MPC400,,,
1576,HomeK8,,,
1576,BathK4,,,
1577,FC400,,,
1578,HomeK8,,,
1579,RF400,,,
1579,HW5L,,,
1580,MPC5L,,,
1580,DW400,,,
1581,HomeK8,,,
1582,TC5L,,,
1582,FC5L,,,
1583,MPC5L,,,
1584,HomeK8,,,
1585,HomeK8,,,
1586,FC5L,,,
1587,HomeK8,,,
1588,HW400,,,
1588,TC400,,,
1588,DW400,,,
1589,HomeK8,,,
1590,HomeK8,,,
1591,DW400,,,
1591,TC400,,,
1591,MPC400,,,
1592,FC400,,,
1593,FC5L,,,
1594,HW5L,,,
1594,FC400,,,
1595,HomeK8,,,
1596,HW5L,,,
1597,HomeK8,,,
1598,FC400,,,
1598,TC400,,,
1599,BathK4,,,
1600,FC400,,,
1601,FC5L,,,
1601,HW400,,,
1601,TC5L,,,
1601,DW400,,,
1602,HomeK8,,,
1603,MPC5L,,,
1603,FC5L,,,
1604,MPC400,,,
1604,FC400,,,
1605,HomeK8,,,
1606,HomeK8,,,
1607,FC400,,,
1607,TC400,,,
1607,MPC400,,,
1608,TC400,,,
1609,TC400,,,
1609,MPC400,,,
1609,RF400,,,
1609,DCK400,,,
1610,HomeK8,,,
1611,HomeK8,,,
1612,RF400,,,
1613,HomeK8,,,
1614,AppK6,,,
1615,MPC5L,,,
1615,FC5L,,,
1616,TC400,,,
1617,MPC5L,,,
1617,DCK400,,,
1617,FC5L,,,
1618,HomeK8,,,
1619,HomeK8,,,
1620,HomeK8,,,
1621,HomeK8,,,
1622,FC400,,,
1622,MPC5L,,,
1622,TC5L,,,
1622,MPC400,,,
1622,FC5L,,,
1622,TC400,,,
1622,DCK400,,,
1622,TC400,,,
1623,MPC5L,,,
1623,DW400,,,
1624,HomeK8,,,
1625,TC400,,,
1625,FC400,,,
1626,HomeK8,,,
1627,MPC400,,,
1627,FC400,,,
1627,DW400,,,
1628,HomeK8,,,
1629,HomeK8,,,
1630,HomeK8,,,
1631,FC5L,,,
1631,TC5L,,,
1632,RF400,,,
1632,RFTC400,,,
1633,MPC400,,,
1633,RF400,,,
1633,DW400,,,
1634,TC400,,,
1635,RF400,,,
1635,HW400,,,
1635,MPC5L,,,
1636,HomeK8,,,
1636,KitK4,,,
1637,TC5L,,,
1637,RFTC400,,,
1638,RF400,,,
1639,MPC5L,,,
1639,RF400,,,
1639,TC400,,,
1640,MPC400,,,
1640,DW400,,,
1641,HomeK8,,,
1641,KitK4,,,
1642,RF5L,,,
1643,HomeK8,,,
1644,HomeK8,,,
1645,TC400,,,
1645,TC400,,,
1645,FC5L,,,
1646,MPC400,,,
1646,TC400,,,
1646,FC400,,,
1647,HW5L,,,
1647,TC400,,,
1648,MPC400,,,
1648,FC400,,,
1649,HomeK8,,,
1650,TC400,,,
1650,DW400,,,
1650,FC400,,,
1651,RF400,,,
1652,RFTC400,,,
1653,RF400,,,
1653,TC400,,,
1653,HW400,,,
1654,DW400,,,
1654,HW400,,,
1654,RFTC400,,,
1654,TC400,,,
1655,MPC400,,,
1655,TC5L,,,
1656,HomeK8,,,
1657,MPC400,,,
1657,FC400,,,
1657,TC400,,,
